Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
2026.0,1.0,Article,122.0,"D'Andrea, Paulo S.",15,Zoology,39.0,1.228 Virology - Tropical Diseases,31.0,1.228.994 Viral Hemorrhagic Fevers,31.0,03 Good Health And Well Being,74.0,Science Citation Index Expanded (SCI-EXPANDED),120.0,FUNDACAO OSWALDO CRUZ,28,Federal University Of Rio De Janeiro Health Sciences Centre,8.0,MAMMALIA,8.0,English,117.0,BRAZIL,90.0,Elsevier,16.0,Zoology,40.0,All Open Access,71.0,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,43,Serie Livros Do Museu Nacional,1.0,Pessoa LM,1.0
2025.0,2.0,Book Chapters,1.0,"ERS, Lemos",10,Parasitology,26.0,3.35 Zoology & Animal Ecology,30.0,3.35.721 Rodent Ecology,27.0,15 Life On Land,44.0,Book Citation Index – Science (BKCI-S),1.0,UNIVERSIDADE DE SAO PAULO,23,Federal University Of Rio De Janeiro Institute Of Biology,7.0,VIRUSES BASEL,6.0,Portuguese,5.0,ARGENTINA,31.0,Springer Nature,16.0,Parasitology,26.0,Gold,47.0,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,32,,,Siciliano S,1.0
2024.0,3.0,,,"Bonvicino, Cibele R.",9,Ecology,12.0,1.163 Parasitology - General,26.0,1.163.645 Fish Parasitology,22.0,13 Climate Action,36.0,Emerging Sources Citation Index (ESCI),1.0,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,18,Cena,5.0,JOURNAL OF PARASITOLOGY,5.0,,,USA,14.0,Walter De Gruyter,8.0,Environmental Sciences Ecology,13.0,Free to Read,17.0,COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,21,,,Tavares WE,1.0
2023.0,4.0,,,"de Oliveira, Renata Carvalho",8,Biodiversity Conservation,10.0,3.40 Forestry,10.0,3.40.195 Biodiversity Conservation,7.0,14 Life Below Water,12.0,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,14,The University Of Tennessee Health Science Center College Of Medicine,5.0,ACTA TROPICA,4.0,,,PARAGUAY,6.0,Wiley,8.0,Biodiversity Conservation,10.0,Green Published,6.0,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,11,,,,
2022.0,2.0,,,"Teixeira, Bernardo R",8,Veterinary Sciences,10.0,1.258 Zoonotic Diseases,7.0,1.258.227 Tick-borne Pathogens,5.0,02 Zero Hunger,1.0,,,UNIVERSIDADE ESTADUAL PAULISTA,12,The University Of Tennessee Health Science Center Department Of Microbiology Immunology And Biochemistry,5.0,BRAZILIAN JOURNAL OF BIOLOGY,4.0,,,URUGUAY,4.0,Mdpi,7.0,Veterinary Sciences,10.0,Green Accepted,1.0,FUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ,8,,,,
2021.0,11.0,,,"Maldonado Junior, Arnaldo",8,Virology,10.0,1.186 Chromosome Disorders,4.0,1.186.670 Chromosomal Evolution,4.0,,,,,NATIONAL CANCER INSTITUTE INCA,9,Universidade De Sao Paulo Departamento De Ecologia,5.0,EMERGING INFECTIOUS DISEASES,4.0,,,GERMANY,3.0,"Soc Brasileira Zoologia, Univ Federal Parana",6.0,Virology,10.0,Green Submitted,56.0,ANPCYT,7,,,,
2020.0,5.0,,,"Gentile, Rosana",8,Tropical Medicine,9.0,1.261 Parasitology - Trypanosoma & Leishmania,3.0,3.64.71 Genetic Diversity,3.0,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,9,Universidade De Sao Paulo Instituto De Biociencias,5.0,PLOS ONE,4.0,,,AUSTRIA,2.0,Public Library Science,5.0,Tropical Medicine,9.0,,,SPANISH GOVERNMENT,6,,,,
2019.0,5.0,,,"Simões, R.O.",6,Infectious Diseases,7.0,3.64 Phylogenetics & Genomics,3.0,1.163.1393 Filarial Infections,2.0,,,,,NATIONAL UNIVERSITY OF LA PLATA,8,Federal University Of Rio De Janeiro Department Of Ecology,4.0,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,4.0,,,CHILE,2.0,Brazilian Coll Veterinary Parasitology,4.0,Infectious Diseases,7.0,,,NATIONAL INSTITUTES OF HEALTH NIH USA,5,,,,
2018.0,11.0,,,"Guterres, Alexandro",5,Biology,6.0,1.125 Hepatitis,1.0,1.258.1958 Leptospirosis Epidemiology,2.0,,,,,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO UFRRJ,8,Federal University Of Rio De Janeiro Department Of Genetics,4.0,ZOOLOGIA,4.0,,,PORTUGAL,2.0,Int Inst Ecology,4.0,Life Sciences Biomedicine Other Topics,6.0,,,UNITED STATES DEPARTMENT OF HEALTH HUMAN SERVICES,5,,,,
2017.0,5.0,,,"Notarnicola, Juliana",5,Environmental Sciences,5.0,1.148 Medical Mycology,1.0,1.261.596 Trypanosoma Biology,2.0,,,,,UNIVERSITY OF BUENOS AIRES,7,Institute Of Immunological And Physiopathological Studies,4.0,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,3.0,,,IRELAND,1.0,AMER SOC PARASITOLOGISTS,3.0,Public Environmental Occupational Health,5.0,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,4,,,,
2016.0,2.0,,,"Luque, Jose L",5,Multidisciplinary Sciences,5.0,1.154 Assisted Ventilation,1.0,3.35.274 Wildlife Ecology,2.0,,,,,UNIVERSIDADE ESTADUAL DE CAMPINAS,5,National University Of La Plata Faculty Of Exact Sciences,4.0,BIOTA NEOTROPICA,3.0,,,MEXICO,1.0,Amer Soc Trop Med & Hygiene,3.0,Science Technology Other Topics,5.0,,,UNIVERSITY OF BUENOS AIRES,4,,,,
2015.0,6.0,,,"Navone, Graciela T.",5,Public Environmental Occupational Health,5.0,1.161 Virology - Identification & Sequencing,1.0,3.40.86 Plant Communities,2.0,,,,,UNIVERSIDADE FEDERAL DO PARANA,5,Texas Tech University College Of Arts And Sciences,4.0,JOURNAL OF HELMINTHOLOGY,3.0,,,NEW ZEALAND,1.0,Cambridge Univ Press,3.0,Genetics Heredity,4.0,,,FIOCRUZ,3,,,,
2014.0,5.0,,,"Digiani, Maria Celina",5,Genetics Heredity,4.0,"1.217 Parasitology - Malaria, Toxoplasmosis & Coccidiosis",1.0,1.125.83 Hcv,1.0,,,,,UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER,5,Texas Tech University Department Of Biological Sciences,4.0,MAMMALIAN BIOLOGY,3.0,,,PEOPLES R CHINA,1.0,Oxford Univ Press,3.0,Immunology,4.0,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DO RIO GRANDE DO SUL FAPERGS,3,,,,
2013.0,6.0,,,"Jonsson, Colleen",5,Immunology,4.0,1.246 Diarrheal Diseases,1.0,1.148.931 Fungal Pathogenesis,1.0,,,,,UNIVERSITY OF TENNESSEE SYSTEM,5,Cepave,3.0,PARASITOLOGY RESEARCH,3.0,,,RUSSIA,1.0,Revista Biota Neotropica,3.0,Microbiology,4.0,,,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,3,,,,
